 ST_GeomFromText('POINT(127.04384103363056 37.66973071177531)')
 ST_GeomFromText('POINT(127.0797940118672 37.58118833188964)')
 ST_GeomFromText('POINT(126.85271630735845 37.520965501537084)')
 ST_GeomFromText('POINT(126.87176418712903 37.498723581801904)')
 ST_GeomFromText('POINT(126.84719900993505 37.53078819186387)')
 ST_GeomFromText('POINT(127.04260269945519 37.465654270708406)')
 ST_GeomFromText('POINT(126.83422808293287 37.56380919153355)')
 ST_GeomFromText('POINT(126.94410282302503 37.513759495143766)')
 ST_GeomFromText('POINT(126.9706256815922 37.54136392273707)')
 ST_GeomFromText('POINT(126.91986452622571 37.587907818735594)')
 ST_GeomFromText('POINT(127.03525416007844 37.61176512994426)')
 ST_GeomFromText('POINT(127.08802721814011 37.61873049786859)')
 ST_GeomFromText('POINT(126.86999283584062 37.518766743466706)')
 ST_GeomFromText('POINT(127.01602052747458 37.48516894806307)')
 ST_GeomFromText('POINT(126.91730178298641 37.589938537389315)')
 ST_GeomFromText('POINT(126.81712458996071 37.57604949490411)')
 ST_GeomFromText('POINT(126.91406473013323 37.5923122569804)')
 ST_GeomFromText('POINT(127.05662170094467 37.50717881661386)')
 ST_GeomFromText('POINT(126.98303746605497 37.575325210536484)')
 ST_GeomFromText('POINT(127.01953092885867 37.56576365301454)')
 ST_GeomFromText('POINT(126.85066236357673 37.56733544782471)')
 ST_GeomFromText('POINT(127.01985205634907 37.56558959458828)')
 ST_GeomFromText('POINT(127.09664901035684 37.5099375873449)')
 ST_GeomFromText('POINT(126.89330652979417 37.567756177950834)')
 ST_GeomFromText('POINT(127.00279750647601 37.56308251627228)')
 ST_GeomFromText('POINT(126.81651311223405 37.57316440363933)')
 ST_GeomFromText('POINT(127.0196306294884 37.56558400038807)')
 ST_GeomFromText('POINT(126.9160450664307 37.56021070345706)')
 ST_GeomFromText('POINT(126.89718750032839 37.52745542554255)')
 ST_GeomFromText('POINT(126.97435285150573 37.4833691547241)')
 ST_GeomFromText('POINT(127.00281407213437 37.56341126695895)')
 ST_GeomFromText('POINT(127.02932751303909 37.582645476357925)')
 ST_GeomFromText('POINT(127.02456615433405 37.64791547429919)')
 ST_GeomFromText('POINT(126.91480595840979 37.479700176904046)')
 ST_GeomFromText('POINT(127.03416171792963 37.5214702330716)')
 ST_GeomFromText('POINT(127.06884435942763 37.48945763871735)')
 ST_GeomFromText('POINT(126.8294683439273 37.51207291071755)')
 ST_GeomFromText('POINT(127.0655954721645 37.50528450727308)')
 ST_GeomFromText('POINT(127.0583754182428 37.47616964438222)')
 ST_GeomFromText('POINT(127.06156093139315 37.48212955488783)')
 ST_GeomFromText('POINT(127.01985634352413 37.565750083791805)')
 ST_GeomFromText('POINT(126.8405564055363 37.49155816481293)')
 ST_GeomFromText('POINT(127.0212864464366 37.52345808491572)')
 ST_GeomFromText('POINT(126.94875060268471 37.5429753649425)')
 ST_GeomFromText('POINT(127.13844665041249 37.5033311691352)')
 ST_GeomFromText('POINT(126.98606624284339 37.57668788442621)')
 ST_GeomFromText('POINT(126.91000646505927 37.48085903015334)')
 ST_GeomFromText('POINT(127.011802866905 37.508258179093545)')
 ST_GeomFromText('POINT(127.01146330586262 37.50829300753977)')
 ST_GeomFromText('POINT(126.90039256202498 37.55647645832023)')
 ST_GeomFromText('POINT(126.81271816801319 37.567543769663054)')
 ST_GeomFromText('POINT(126.81283903175415 37.567587603706045)')
 ST_GeomFromText('POINT(126.81281923452396 37.567532880148555)')
 ST_GeomFromText('POINT(126.91817046765406 37.59380806391831)')
 ST_GeomFromText('POINT(126.81285638008347 37.56771947824224)')
 ST_GeomFromText('POINT(126.88379951031193 37.46491430624692)')
 ST_GeomFromText('POINT(126.89681814368724 37.52593407476727)')
 ST_GeomFromText('POINT(126.97928192254346 37.56685938521017)')
 ST_GeomFromText('POINT(126.913076757248 37.58236656305363)')
 ST_GeomFromText('POINT(127.0678724437207 37.584787816157316)')
 ST_GeomFromText('POINT(126.91138819702077 37.5652792612944)')
 ST_GeomFromText('POINT(126.8859539147027 37.485374395161266)')
 ST_GeomFromText('POINT(126.91179502676923 37.5654820890852)')
 ST_GeomFromText('POINT(127.05256801627502 37.482947947874685)')
 ST_GeomFromText('POINT(126.81283138981046 37.56781122744189)')
 ST_GeomFromText('POINT(126.86333550355705 37.55685469632938)')
 ST_GeomFromText('POINT(127.09775219547646 37.48577304446465)')
 ST_GeomFromText('POINT(127.03462303738965 37.58838596490465)')
 ST_GeomFromText('POINT(126.88969238984578 37.52115987551431)')
 ST_GeomFromText('POINT(127.05451051277369 37.497015972590376)')
 ST_GeomFromText('POINT(127.09272372609836 37.51178615164153)')
 ST_GeomFromText('POINT(126.9188022961885 37.524991693226866)')
 ST_GeomFromText('POINT(126.81270979218185 37.56777781042763)')
 ST_GeomFromText('POINT(127.01871659822083 37.57404403645542)')
 ST_GeomFromText('POINT(127.05466676365887 37.497087417778026)')
 ST_GeomFromText('POINT(126.91138692627763 37.49542650033816)')
 ST_GeomFromText('POINT(126.93258455512542 37.52672599587519)')
 ST_GeomFromText('POINT(127.092461721253 37.511751669270204)')
 ST_GeomFromText('POINT(126.89513362348745 37.48459045573566)')
 ST_GeomFromText('POINT(126.89564197593599 37.48460633560574)')
 ST_GeomFromText('POINT(127.09687574845285 37.50002670760752)')
 ST_GeomFromText('POINT(126.96868376176701 37.55518773160269)')
 ST_GeomFromText('POINT(127.12478371256752 37.553758749878625)')
 ST_GeomFromText('POINT(127.09579081820998 37.50669020113808)')
 ST_GeomFromText('POINT(127.13635341101579 37.52898629061076)')
 ST_GeomFromText('POINT(126.90914685627219 37.485196422411995)')
 ST_GeomFromText('POINT(126.9264847026843 37.54552050372292)')
 ST_GeomFromText('POINT(127.04140244572982 37.51737234419354)')
 ST_GeomFromText('POINT(127.03519027818874 37.515673627675106)')
 ST_GeomFromText('POINT(127.09665169654401 37.50258870140582)')
 ST_GeomFromText('POINT(127.06732987923664 37.50125738221136)')
 ST_GeomFromText('POINT(126.911441536659 37.4954251285096)')
 ST_GeomFromText('POINT(127.08805867106334 37.49137155420307)')
 ST_GeomFromText('POINT(126.89625240667074 37.485917766851635)')
 ST_GeomFromText('POINT(126.97152869700642 37.57943369208606)')
 ST_GeomFromText('POINT(127.06783342003756 37.50098211348132)')
 ST_GeomFromText('POINT(126.92200988508233 37.6002861356282)')
 ST_GeomFromText('POINT(126.89539193851307 37.48076811522602)')
 ST_GeomFromText('POINT(127.07645416420144 37.492573976468265)')
 ST_GeomFromText('POINT(126.89536462913289 37.48058944895317)')
 ST_GeomFromText('POINT(126.96221380129953 37.54206077761942)')
